Number,ID,Type,Substrate Temp,Surface Temp,Ambient Temp,Canopy Closure,Rock Cover,Leaf Cover,Veg Cover,Fallen Log Cover,WSH,Cover Height,Dist. To Cover,Log Diameter,Dist. To Water,Depth,%Land,%Water,%Woody debris,%Floating Veg,%Bare soil,Group,SVL,TL,MASS,UTM_mE,UTM_mN,Dates,Time 
198,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491088,4016047,8/8/2012,13:23:00
199,x,GENERAL,25,25,29,100,0,20,0,10,6.5,16,0,16,173,0,100,0,10,0,0,HABITAT,0,0,0,491060,4016075,8/8/2012,13:25:00
200,x,GENERAL,29,29,31,100,0,0,10,0,1200,16,439,22,453,0,100,0,20,0,70,HABITAT,0,0,0,491206,4016361,7/25/2012,10:33:00
201,x,GENERAL,23.5,23.5,32,48,0,0,90,0,0,75,464,36,0,15,10,90,0,90,0,HABITAT,0,0,0,491072,4016308,7/25/2012,11:29:00
202,x,GENERAL,23,23,30,37,0,0,80,20,100,8,0,8,0,33,80,20,20,20,0,HABITAT,0,0,0,491320,4016256,6/19/2012,9:55:00
203,x,GENERAL,26,26,34,67,0,0,0,20,490,14,0,15,0,33,20,80,20,0,0,HABITAT,0,0,0,491411,4016280,6/19/2012,11:50:00
204,x,GENERAL,26,26,31,85,0,0,30,0,250,21,150,21.9,0,37,40,60,0,30,0,HABITAT,0,0,0,491162,4016223,6/19/2012,12:30:00
205,x,GENERAL,29,29,29.5,83,100,0,0,0,190,4,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491168,4016230,6/19/2012,13:55:00
206,x,GENERAL,20.5,20.5,20,86,60,38,2,0,300,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491675,4016263,8/3/2012,11:54:00
207,x,GENERAL,21,21,20.5,81,60,20,0,0,0,12,0,6,1000,0,100,0,0,0,0,HABITAT,0,0,0,492485,4015895,8/12/2012,9:30:00
